combo_name,target_pct,stop_loss_pct,max_hold_minutes,is_baseline,total_candidates,valid_candidates,long_candidates,short_candidates,target_hit_count,stop_hit_count,timeout_count,ambiguous_count,insufficient_future_data_count,positive_rate_pct,timeout_rate_pct,avg_realized_return_pct,median_realized_return_pct,avg_target_hit_return_pct,avg_stop_hit_return_pct,avg_timeout_return_pct,win_loss_ratio,profit_factor,expected_return_per_valid_pct,expected_return_per_candidate_pct,net_avg_realized_return_pct,net_profit_factor,opps_per_sym_day,long_positive_rate_pct,short_positive_rate_pct,long_avg_return_pct,short_avg_return_pct
A,0.01,0.005,240,False,419432,413625,209716,209716,41770,143948,227907,143,5664,10.1,55.1,0.0039,-0.0641,1.0,-0.5,0.1397,0.29,1.019,0.0039,0.0039,-0.0461,0.806,74.05,10.41,9.79,0.0079,-0.0
B,0.01,0.009,240,False,419432,413604,209716,209716,44609,56519,312476,164,5664,10.79,75.55,0.0006,0.0,1.0,-0.9,0.0208,0.789,1.002,0.0006,0.0006,-0.0494,0.806,74.05,11.09,10.48,0.0088,-0.0077
C,0.015,0.009,240,False,419432,413707,209716,209716,15223,57130,341354,61,5664,3.68,82.51,0.0025,-0.0079,1.5,-0.9,0.0868,0.266,1.011,0.0025,0.0025,-0.0475,0.816,74.05,4.16,3.19,0.0132,-0.0081
D,0.02,0.009,240,False,419432,413751,209716,209716,6397,57300,350054,17,5664,1.55,84.6,0.005,-0.0086,2.0,-0.9,0.1166,0.112,1.021,0.005,0.0049,-0.045,0.825,74.05,1.85,1.25,0.0166,-0.0067
E,0.022,0.009,240,True,419432,413766,209716,209716,4667,57327,351772,2,5664,1.13,85.02,0.0057,-0.0087,2.2,-0.9,0.1242,0.081,1.025,0.0057,0.0056,-0.0443,0.828,74.05,1.34,0.91,0.0173,-0.0059
F,0.025,0.009,240,False,419432,413766,209716,209716,3050,57329,353387,2,5664,0.74,85.41,0.0063,-0.0087,2.5,-0.9,0.1319,0.053,1.027,0.0063,0.0063,-0.0437,0.831,74.05,0.9,0.58,0.0182,-0.0055
G,0.03,0.009,240,False,419432,413767,209716,209716,1528,57332,354907,1,5664,0.37,85.77,0.0069,-0.0088,3.0,-0.9,0.1405,0.027,1.03,0.0069,0.0068,-0.0431,0.833,74.05,0.46,0.28,0.0191,-0.0052
E_60m,0.022,0.009,60,False,419432,413766,209716,209716,720,14728,398318,2,5664,0.17,96.27,0.0014,0.0,2.2,-0.9,0.0307,0.049,1.01,0.0014,0.0013,-0.0486,0.711,74.05,0.21,0.14,0.0043,-0.0015
E_120m,0.022,0.009,120,False,419432,413766,209716,209716,1982,33077,378707,2,5664,0.48,91.53,0.0028,0.0,2.2,-0.9,0.0702,0.06,1.015,0.0028,0.0028,-0.0472,0.78,74.05,0.6,0.35,0.006,-0.0004
E_375m,0.022,0.009,375,False,419432,413766,209716,209716,6546,65676,341544,2,5664,1.58,82.55,0.0052,-0.0143,2.2,-0.9,0.1372,0.1,1.021,0.0052,0.0051,-0.0448,0.835,74.05,1.88,1.29,0.0307,-0.0204
A_60m,0.01,0.005,60,False,419432,413688,209716,209716,10108,66227,337353,80,5664,2.44,81.55,0.0022,-0.0064,1.0,-0.5,0.0709,0.153,1.016,0.0022,0.0022,-0.0478,0.709,74.05,3.04,1.85,0.0026,0.0018
C_60m,0.015,0.009,60,False,419432,413746,209716,209716,2609,14693,396444,22,5664,0.63,95.82,0.0008,0.0,1.5,-0.9,0.0243,0.178,1.006,0.0008,0.0008,-0.0492,0.708,74.05,0.82,0.44,0.0037,-0.0021
A_120m,0.01,0.005,120,False,419432,413650,209716,209716,23502,109539,280609,118,5664,5.68,67.84,0.0032,-0.0255,1.0,-0.5,0.1162,0.215,1.018,0.0032,0.0032,-0.0468,0.771,74.05,6.41,4.95,0.0028,0.0037
C_120m,0.015,0.009,120,False,419432,413731,209716,209716,6804,32994,373933,37,5664,1.64,90.38,0.0013,0.0,1.5,-0.9,0.0535,0.206,1.007,0.0013,0.0013,-0.0487,0.772,74.05,2.05,1.24,0.0042,-0.0016
